"Szakmagyakorlási 
terület 
megnevezése"$"Szakterület/ 
részszakterület 
megnevezése"$"Szakterület/
részszak-
terület 
jelölése"$Feladatok, amelyeket az adott szakterületi jogosultsággal lehet végezni$"Képesítési minimum 
követelmény és az ezzel 
egyenértékû 
szakképzettség"$"Szakmai
gyak. idõ"
Településtervezési terület$Településtervezési szakterület$TT$Településrendezési eszköz (megalapozó vizsgálat, alátámasztó javaslat és jóváhagyandó munkarészek), településfejlesztési koncepció településszerkezeti tervhez is felhasználható megalapozó vizsgálata, telepítési tanulmányterv, beépítési terv és örökségvédelmi hatástanulmány készítése - a tervezési feladat elvégzéséhez szükséges - településtervezési szakági tervezõk bevonásával.$okleveles településmérnök$5 év
$Településtervezési zöldfelületi és tájrendezési szakterület$TK$Táji-, természeti adottságok, zöldfelületi rendszer vizsgálat, helyzetelemzés, értékelés; tájrendezési, zöldfelületi rendszer fejlesztési, környezeti hatások és feltételek, és a tervezési feladat elvégzéséhez szükséges szakági munkarész és javaslat készítése.$okleveles tájépítész mérnök$5 év
Településtervezési szakági tervezési terület$Településtervezési közlekedési szakterület$TKö$Közlekedési vizsgálat, helyzetelemzés, értékelés, közlekedési és a tervezési feladat elvégzéséhez szükséges szakági munkarész és javaslat készítése.$"okleveles közlekedés-
építõmérnök,
okleveles közlekedésmérnök"$5 év
$Településtervezési vízközmû szakterület$TV$Víziközmû vizsgálat, helyzetelemzés, értékelés, víziközmû, és a tervezési feladat elvégzéséhez szükséges szakági munkarész és javaslat készítése.$okleveles építõmérnök$5 év
$"Településtervezési energia-
közmû szakterület"$TE$Energiagazdálkodás, energiaellátás és megújuló energiaforrás alkalmazás vizsgálata, helyzetelemzés, értékelés, energiaellátási és a tervezési feladat elvégzéséhez szükséges szakági munkarész és javaslat készítése.$"okleveles energetikai mérnök,
okleveles gépészmérnök,
okleveles villamosmérnök"$5 év
$Településtervezési hírközlési szakterület$TH$Hírközlési vizsgálat, helyzetelemzés, értékelés, hírközlési és a tervezési feladat elvégzéséhez szükséges szakági munkarész és javaslat készítése.$okleveles villamosmérnök, okleveles mérnök- informatikus$5 év
"Építészeti
tervezési
terület"$$É$"Az általános építmények teljes körû építészeti tervezése, beleértve a helyi vagy mûemléki védelem alatt álló építménnyel kapcsolatos, valamint jogszabállyal védetté nyilvánított területen (világörökség, mûemléki jelentõségû területen, mûemléki környezetben, tájvédelem vagy helyi védelem alatt álló területen) új építmény létesítésével és meglévõ építmény tömegét megváltoztató átalakítását.
A tervezésbe - beleértve az Étv. 33/A. §-a szerinti egyszerû bejelentéshez kötött építési tevékenység tervezését is - szakági mûszaki tervezési területen jogosultsággal rendelkezõ tervezõt kell bevonni az Épkiv. 22. § (1) bekezdés b) pont ba)-bf) alpontjában meghatározott méretet, jellemzõt meghaladó, valamint 22. § (3) bekezdés c)-d) pontjában meghatározott esetben.
Telepítési tanulmányterv (településrendezési eszköz készítése vagy módosítása esetén településtervezõ, szükség szerint szakági településtervezõ bevonásával), továbbá beépítési terv és örökségvédelmi hatástanulmány készítése.
A saját tervezésû építmény teljes körû belsõépítészeti tervezése."$okleveles építész mérnök$2 év
